cpu_usage,memory_usage,running_processes,battery_percent,timestamp,suggestions
0.8,47.5,221,,2025-11-07 16:28:22,Too many processes running — consider disabling startup programs.
1.4,47.5,221,,2025-11-07 16:28:33,Too many processes running — consider disabling startup programs.
0.8,47.5,221,,2025-11-07 16:28:44,Too many processes running — consider disabling startup programs.
0.6,47.4,219,,2025-11-07 16:28:55,Too many processes running — consider disabling startup programs.
0.2,47.3,218,,2025-11-07 16:29:06,Too many processes running — consider disabling startup programs.
1.2,47.3,218,,2025-11-07 16:29:17,Too many processes running — consider disabling startup programs.
1.4,47.3,217,,2025-11-07 16:29:29,Too many processes running — consider disabling startup programs.
0.8,47.3,217,,2025-11-07 16:29:40,Too many processes running — consider disabling startup programs.
0.4,47.3,216,,2025-11-07 16:29:51,Too many processes running — consider disabling startup programs.
2.7,47.2,215,,2025-11-07 16:30:02,Too many processes running — consider disabling startup programs.
0.8,47.3,215,,2025-11-07 16:30:13,Too many processes running — consider disabling startup programs.
1.0,47.2,215,,2025-11-07 16:30:24,Too many processes running — consider disabling startup programs.
0.6,47.1,215,,2025-11-07 16:30:35,Too many processes running — consider disabling startup programs.
61.7,48.1,241,,2025-11-07 16:30:46,Too many processes running — consider disabling startup programs.
11.8,48.1,230,,2025-11-07 16:30:58,Too many processes running — consider disabling startup programs.
4.4,48.0,228,,2025-11-07 16:31:09,Too many processes running — consider disabling startup programs.
1.6,47.9,229,,2025-11-07 16:31:20,Too many processes running — consider disabling startup programs.
13.5,48.2,229,,2025-11-07 16:31:31,Too many processes running — consider disabling startup programs.
0.0,45.3,228,,2025-11-07 16:31:42,Too many processes running — consider disabling startup programs.
1.0,45.2,225,,2025-11-07 16:31:53,Too many processes running — consider disabling startup programs.
0.8,45.2,225,,2025-11-07 16:32:04,Too many processes running — consider disabling startup programs.
1.0,45.3,224,,2025-11-07 16:32:15,Too many processes running — consider disabling startup programs.
0.6,45.2,224,,2025-11-07 16:32:27,Too many processes running — consider disabling startup programs.
0.4,45.2,224,,2025-11-07 16:32:38,Too many processes running — consider disabling startup programs.
1.2,45.2,224,,2025-11-07 16:32:49,Too many processes running — consider disabling startup programs.
1.8,45.2,224,,2025-11-07 16:33:00,Too many processes running — consider disabling startup programs.
0.4,45.0,222,,2025-11-07 16:33:11,Too many processes running — consider disabling startup programs.
0.6,45.0,222,,2025-11-07 16:33:22,Too many processes running — consider disabling startup programs.
2.7,45.0,222,,2025-11-07 16:33:33,Too many processes running — consider disabling startup programs.
0.2,45.0,221,,2025-11-07 16:33:44,Too many processes running — consider disabling startup programs.
0.0,45.0,219,,2025-11-07 16:33:55,Too many processes running — consider disabling startup programs.
1.0,44.9,218,,2025-11-07 16:34:07,Too many processes running — consider disabling startup programs.
2.0,45.0,217,,2025-11-07 16:34:18,Too many processes running — consider disabling startup programs.
0.6,45.0,217,,2025-11-07 16:34:29,Too many processes running — consider disabling startup programs.
0.0,44.9,216,,2025-11-07 16:34:40,Too many processes running — consider disabling startup programs.
0.6,44.9,216,,2025-11-07 16:34:51,Too many processes running — consider disabling startup programs.
1.2,44.9,216,,2025-11-07 16:35:02,Too many processes running — consider disabling startup programs.
1.6,44.9,216,,2025-11-07 16:35:13,Too many processes running — consider disabling startup programs.
0.8,44.9,216,,2025-11-07 16:35:24,Too many processes running — consider disabling startup programs.
0.2,44.8,216,,2025-11-07 16:35:35,Too many processes running — consider disabling startup programs.
0.6,44.8,215,,2025-11-07 16:35:47,Too many processes running — consider disabling startup programs.
0.4,44.8,213,,2025-11-07 16:35:58,Too many processes running — consider disabling startup programs.
1.2,44.8,213,,2025-11-07 16:36:09,Too many processes running — consider disabling startup programs.
1.4,44.8,212,,2025-11-07 16:36:20,Too many processes running — consider disabling startup programs.
0.4,44.8,212,,2025-11-07 16:36:31,Too many processes running — consider disabling startup programs.
1.4,44.8,212,,2025-11-07 16:36:42,Too many processes running — consider disabling startup programs.
0.8,44.8,212,,2025-11-07 16:36:53,Too many processes running — consider disabling startup programs.
1.0,44.8,212,,2025-11-07 16:37:04,Too many processes running — consider disabling startup programs.
0.4,44.8,212,,2025-11-07 16:37:16,Too many processes running — consider disabling startup programs.
0.6,44.8,212,,2025-11-07 16:37:27,Too many processes running — consider disabling startup programs.
1.2,44.8,212,,2025-11-07 16:37:38,Too many processes running — consider disabling startup programs.
0.4,44.6,211,,2025-11-07 16:37:49,Too many processes running — consider disabling startup programs.
0.6,44.6,211,,2025-11-07 16:38:00,Too many processes running — consider disabling startup programs.
0.6,44.6,211,,2025-11-07 16:38:11,Too many processes running — consider disabling startup programs.
0.6,44.6,212,,2025-11-07 16:38:22,Too many processes running — consider disabling startup programs.
1.7,44.6,212,,2025-11-07 16:38:33,Too many processes running — consider disabling startup programs.
0.2,44.7,216,,2025-11-07 16:38:44,Too many processes running — consider disabling startup programs.
0.4,44.6,212,,2025-11-07 16:38:56,Too many processes running — consider disabling startup programs.
0.6,44.6,212,,2025-11-07 16:39:07,Too many processes running — consider disabling startup programs.
0.8,44.6,212,,2025-11-07 16:39:18,Too many processes running — consider disabling startup programs.
0.6,44.6,212,,2025-11-07 16:39:29,Too many processes running — consider disabling startup programs.
0.4,44.6,211,,2025-11-07 16:39:40,Too many processes running — consider disabling startup programs.
0.8,44.6,211,,2025-11-07 16:39:51,Too many processes running — consider disabling startup programs.
0.4,44.5,211,,2025-11-07 16:40:02,Too many processes running — consider disabling startup programs.
0.4,44.6,211,,2025-11-07 16:40:13,Too many processes running — consider disabling startup programs.
1.9,44.5,211,,2025-11-07 16:40:25,Too many processes running — consider disabling startup programs.
1.0,44.5,211,,2025-11-07 16:40:36,Too many processes running — consider disabling startup programs.
2.3,44.8,218,,2025-11-07 16:40:47,Too many processes running — consider disabling startup programs.
0.0,44.7,218,,2025-11-07 16:40:58,Too many processes running — consider disabling startup programs.
1.0,44.7,218,,2025-11-07 16:41:09,Too many processes running — consider disabling startup programs.
0.8,44.6,217,,2025-11-07 16:41:20,Too many processes running — consider disabling startup programs.
0.2,44.6,217,,2025-11-07 16:41:31,Too many processes running — consider disabling startup programs.
1.0,44.6,217,,2025-11-07 16:41:42,Too many processes running — consider disabling startup programs.
1.0,44.6,214,,2025-11-07 16:41:53,Too many processes running — consider disabling startup programs.
1.2,44.6,214,,2025-11-07 16:42:05,Too many processes running — consider disabling startup programs.
1.4,44.6,214,,2025-11-07 16:42:16,Too many processes running — consider disabling startup programs.
0.2,44.5,214,,2025-11-07 16:42:27,Too many processes running — consider disabling startup programs.
0.4,44.6,214,,2025-11-07 16:42:38,Too many processes running — consider disabling startup programs.
0.6,44.5,213,,2025-11-07 16:42:49,Too many processes running — consider disabling startup programs.
0.2,44.5,213,,2025-11-07 16:43:00,Too many processes running — consider disabling startup programs.
1.6,44.5,213,,2025-11-07 16:43:11,Too many processes running — consider disabling startup programs.
0.2,44.5,213,,2025-11-07 16:43:22,Too many processes running — consider disabling startup programs.
0.6,44.5,213,,2025-11-07 16:43:34,Too many processes running — consider disabling startup programs.
0.0,44.5,213,,2025-11-07 16:43:45,Too many processes running — consider disabling startup programs.
0.2,44.5,212,,2025-11-07 16:43:56,Too many processes running — consider disabling startup programs.
0.8,44.5,212,,2025-11-07 16:44:07,Too many processes running — consider disabling startup programs.
0.2,44.5,212,,2025-11-07 16:44:18,Too many processes running — consider disabling startup programs.
0.4,44.5,212,,2025-11-07 16:44:29,Too many processes running — consider disabling startup programs.
0.6,44.5,212,,2025-11-07 16:44:40,Too many processes running — consider disabling startup programs.
1.0,44.5,212,,2025-11-07 16:44:51,Too many processes running — consider disabling startup programs.
0.6,44.5,212,,2025-11-07 16:45:02,Too many processes running — consider disabling startup programs.
0.8,44.4,212,,2025-11-07 16:45:14,Too many processes running — consider disabling startup programs.
0.6,44.5,212,,2025-11-07 16:45:25,Too many processes running — consider disabling startup programs.
1.4,44.4,212,,2025-11-07 16:45:36,Too many processes running — consider disabling startup programs.
1.8,44.6,213,,2025-11-07 16:45:47,Too many processes running — consider disabling startup programs.
6.8,44.6,212,,2025-11-07 16:45:58,Too many processes running — consider disabling startup programs.; Brightness reduced from 100% to 50% to save power.
3.6,44.9,216,,2025-11-07 16:46:09,Too many processes running — consider disabling startup programs.
1.0,44.9,215,,2025-11-07 16:46:20,Too many processes running — consider disabling startup programs.
5.9,45.2,216,,2025-11-07 16:46:31,Too many processes running — consider disabling startup programs.; Brightness reduced from 100% to 50% to save power.
2.5,44.4,218,,2025-11-07 16:46:43,Too many processes running — consider disabling startup programs.
2.9,44.6,219,,2025-11-07 16:49:38,Too many processes running — consider disabling startup programs.
0.8,42.8,215,,2025-11-07 16:49:49,Too many processes running — consider disabling startup programs.
0.6,42.6,213,,2025-11-07 16:50:00,Too many processes running — consider disabling startup programs.
0.2,42.6,213,,2025-11-07 16:50:11,Too many processes running — consider disabling startup programs.
1.6,42.6,212,,2025-11-07 16:50:23,Too many processes running — consider disabling startup programs.
0.4,42.5,212,,2025-11-07 16:50:34,Too many processes running — consider disabling startup programs.
0.8,42.5,212,,2025-11-07 16:50:45,Too many processes running — consider disabling startup programs.
0.6,42.3,211,,2025-11-07 16:50:56,Too many processes running — consider disabling startup programs.
1.0,42.4,211,,2025-11-07 16:51:07,Too many processes running — consider disabling startup programs.
9.5,42.6,211,,2025-11-07 16:51:18,Too many processes running — consider disabling startup programs.
1.4,42.7,211,,2025-11-07 16:51:29,Too many processes running — consider disabling startup programs.
0.6,42.7,212,,2025-11-07 16:51:40,Too many processes running — consider disabling startup programs.
0.6,42.7,212,,2025-11-07 16:51:51,Too many processes running — consider disabling startup programs.
15.2,43.2,210,,2025-11-07 16:52:03,Too many processes running — consider disabling startup programs.
10.5,43.3,210,,2025-11-07 16:52:14,Too many processes running — consider disabling startup programs.
0.4,43.3,210,,2025-11-07 16:52:25,Too many processes running — consider disabling startup programs.
1.0,42.7,210,,2025-11-07 16:52:36,Too many processes running — consider disabling startup programs.
1.0,42.7,210,,2025-11-07 16:52:47,Too many processes running — consider disabling startup programs.
0.2,42.7,210,,2025-11-07 16:52:58,Too many processes running — consider disabling startup programs.
2.2,42.7,210,,2025-11-07 16:53:09,Too many processes running — consider disabling startup programs.
0.4,42.6,209,,2025-11-07 16:53:20,Too many processes running — consider disabling startup programs.
1.0,42.7,209,,2025-11-07 16:53:32,Too many processes running — consider disabling startup programs.
1.0,43.0,209,,2025-11-07 16:53:43,Too many processes running — consider disabling startup programs.
1.2,43.0,209,,2025-11-07 16:53:54,Too many processes running — consider disabling startup programs.
0.0,42.9,209,,2025-11-07 16:54:05,Too many processes running — consider disabling startup programs.
0.2,42.9,209,,2025-11-07 16:54:16,Too many processes running — consider disabling startup programs.
0.8,42.9,209,,2025-11-07 16:54:27,Too many processes running — consider disabling startup programs.
0.8,42.9,208,,2025-11-07 16:54:38,Too many processes running — consider disabling startup programs.
0.4,42.9,209,,2025-11-07 16:54:49,Too many processes running — consider disabling startup programs.
1.0,42.9,208,,2025-11-07 16:55:01,Too many processes running — consider disabling startup programs.
0.6,42.9,208,,2025-11-07 16:55:12,Too many processes running — consider disabling startup programs.
0.8,42.9,207,,2025-11-07 16:55:23,Too many processes running — consider disabling startup programs.
1.0,42.9,207,,2025-11-07 16:55:34,Too many processes running — consider disabling startup programs.
0.2,42.8,207,,2025-11-07 16:55:45,Too many processes running — consider disabling startup programs.
0.0,42.9,206,,2025-11-07 16:55:56,Too many processes running — consider disabling startup programs.
1.0,43.1,207,,2025-11-07 16:56:07,Too many processes running — consider disabling startup programs.
2.7,42.9,206,,2025-11-07 16:56:18,Too many processes running — consider disabling startup programs.
0.4,43.2,212,,2025-11-07 16:56:29,Too many processes running — consider disabling startup programs.
1.0,42.5,212,,2025-11-07 16:56:41,Too many processes running — consider disabling startup programs.
1.0,42.5,212,,2025-11-07 16:56:52,Too many processes running — consider disabling startup programs.
0.6,42.5,212,,2025-11-07 16:57:03,Too many processes running — consider disabling startup programs.
0.6,42.4,211,,2025-11-07 16:57:14,Too many processes running — consider disabling startup programs.
0.4,42.4,209,,2025-11-07 16:57:25,Too many processes running — consider disabling startup programs.
0.2,42.4,209,,2025-11-07 16:57:36,Too many processes running — consider disabling startup programs.
0.2,42.4,209,,2025-11-07 16:57:47,Too many processes running — consider disabling startup programs.
1.4,42.4,208,,2025-11-07 16:57:58,Too many processes running — consider disabling startup programs.
0.0,42.4,208,,2025-11-07 16:58:10,Too many processes running — consider disabling startup programs.
0.6,42.4,207,,2025-11-07 16:58:21,Too many processes running — consider disabling startup programs.
0.8,42.2,205,,2025-11-07 16:58:32,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 16:58:43,Too many processes running — consider disabling startup programs.
0.6,42.2,205,,2025-11-07 16:58:54,Too many processes running — consider disabling startup programs.
0.0,42.2,205,,2025-11-07 16:59:05,Too many processes running — consider disabling startup programs.
0.8,42.2,205,,2025-11-07 16:59:16,Too many processes running — consider disabling startup programs.
1.2,42.3,205,,2025-11-07 16:59:27,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 16:59:38,Too many processes running — consider disabling startup programs.
1.4,42.3,206,,2025-11-07 16:59:50,Too many processes running — consider disabling startup programs.
0.2,42.3,206,,2025-11-07 17:00:01,Too many processes running — consider disabling startup programs.
0.2,42.3,206,,2025-11-07 17:00:12,Too many processes running — consider disabling startup programs.
0.0,42.2,205,,2025-11-07 17:00:23,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:00:34,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:00:45,Too many processes running — consider disabling startup programs.
0.4,42.3,206,,2025-11-07 17:00:56,Too many processes running — consider disabling startup programs.
0.6,42.3,206,,2025-11-07 17:01:07,Too many processes running — consider disabling startup programs.
0.6,42.3,206,,2025-11-07 17:01:19,Too many processes running — consider disabling startup programs.
0.0,42.3,206,,2025-11-07 17:01:30,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:01:41,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:01:52,Too many processes running — consider disabling startup programs.
3.5,42.3,206,,2025-11-07 17:02:03,Too many processes running — consider disabling startup programs.
0.6,42.3,206,,2025-11-07 17:02:14,Too many processes running — consider disabling startup programs.
1.4,42.3,206,,2025-11-07 17:02:25,Too many processes running — consider disabling startup programs.
0.8,42.3,206,,2025-11-07 17:02:36,Too many processes running — consider disabling startup programs.
1.0,42.3,206,,2025-11-07 17:02:47,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:02:59,Too many processes running — consider disabling startup programs.
1.2,42.3,206,,2025-11-07 17:03:10,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:03:21,Too many processes running — consider disabling startup programs.
1.2,42.2,206,,2025-11-07 17:03:32,Too many processes running — consider disabling startup programs.
1.6,42.3,206,,2025-11-07 17:03:43,Too many processes running — consider disabling startup programs.
0.8,42.3,206,,2025-11-07 17:03:54,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:04:05,Too many processes running — consider disabling startup programs.
0.6,42.3,206,,2025-11-07 17:04:16,Too many processes running — consider disabling startup programs.
1.2,42.2,206,,2025-11-07 17:04:28,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:04:39,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:04:50,Too many processes running — consider disabling startup programs.
0.4,42.3,206,,2025-11-07 17:05:01,Too many processes running — consider disabling startup programs.
3.7,42.3,206,,2025-11-07 17:05:12,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:05:23,Too many processes running — consider disabling startup programs.
4.5,42.4,206,,2025-11-07 17:05:34,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:05:45,Too many processes running — consider disabling startup programs.
1.2,42.3,206,,2025-11-07 17:05:56,Too many processes running — consider disabling startup programs.
1.4,42.4,207,,2025-11-07 17:06:08,Too many processes running — consider disabling startup programs.
1.0,42.3,206,,2025-11-07 17:06:19,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:06:30,Too many processes running — consider disabling startup programs.
1.8,42.2,205,,2025-11-07 17:06:41,Too many processes running — consider disabling startup programs.
0.6,42.3,205,,2025-11-07 17:06:52,Too many processes running — consider disabling startup programs.
0.8,42.3,205,,2025-11-07 17:07:03,Too many processes running — consider disabling startup programs.
0.8,42.3,205,,2025-11-07 17:07:14,Too many processes running — consider disabling startup programs.
0.8,42.3,205,,2025-11-07 17:07:25,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:07:37,Too many processes running — consider disabling startup programs.
0.6,42.2,205,,2025-11-07 17:07:48,Too many processes running — consider disabling startup programs.
0.8,42.2,205,,2025-11-07 17:07:59,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:08:10,Too many processes running — consider disabling startup programs.
1.4,42.2,205,,2025-11-07 17:08:21,Too many processes running — consider disabling startup programs.
1.6,42.2,205,,2025-11-07 17:08:32,Too many processes running — consider disabling startup programs.
1.9,42.2,205,,2025-11-07 17:08:43,Too many processes running — consider disabling startup programs.
1.0,42.2,205,,2025-11-07 17:08:54,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:09:05,Too many processes running — consider disabling startup programs.
0.0,42.3,208,,2025-11-07 17:09:17,Too many processes running — consider disabling startup programs.
0.4,42.3,208,,2025-11-07 17:09:28,Too many processes running — consider disabling startup programs.
0.8,42.3,208,,2025-11-07 17:09:39,Too many processes running — consider disabling startup programs.
0.8,42.3,208,,2025-11-07 17:09:50,Too many processes running — consider disabling startup programs.
0.2,42.4,208,,2025-11-07 17:10:01,Too many processes running — consider disabling startup programs.
0.4,42.3,208,,2025-11-07 17:10:12,Too many processes running — consider disabling startup programs.
0.4,42.4,208,,2025-11-07 17:10:23,Too many processes running — consider disabling startup programs.
0.6,42.4,208,,2025-11-07 17:10:34,Too many processes running — consider disabling startup programs.
1.2,42.3,207,,2025-11-07 17:10:45,Too many processes running — consider disabling startup programs.
2.1,42.3,206,,2025-11-07 17:10:57,Too many processes running — consider disabling startup programs.
1.0,42.3,206,,2025-11-07 17:11:08,Too many processes running — consider disabling startup programs.
2.1,42.3,206,,2025-11-07 17:11:19,Too many processes running — consider disabling startup programs.
1.4,42.3,206,,2025-11-07 17:11:30,Too many processes running — consider disabling startup programs.
12.8,42.6,206,,2025-11-07 17:11:41,Too many processes running — consider disabling startup programs.
1.2,42.2,206,,2025-11-07 17:11:52,Too many processes running — consider disabling startup programs.
1.4,42.2,206,,2025-11-07 17:12:03,Too many processes running — consider disabling startup programs.
2.2,42.2,206,,2025-11-07 17:12:14,Too many processes running — consider disabling startup programs.
1.2,42.2,206,,2025-11-07 17:12:26,Too many processes running — consider disabling startup programs.
1.4,42.2,206,,2025-11-07 17:12:37,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:12:48,Too many processes running — consider disabling startup programs.
0.8,42.2,206,,2025-11-07 17:12:59,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:13:10,Too many processes running — consider disabling startup programs.
0.4,42.2,206,,2025-11-07 17:13:21,Too many processes running — consider disabling startup programs.
0.6,42.2,206,,2025-11-07 17:13:32,Too many processes running — consider disabling startup programs.
0.6,42.2,206,,2025-11-07 17:13:43,Too many processes running — consider disabling startup programs.
3.1,42.2,206,,2025-11-07 17:13:54,Too many processes running — consider disabling startup programs.
0.6,42.2,206,,2025-11-07 17:14:06,Too many processes running — consider disabling startup programs.
1.0,42.2,205,,2025-11-07 17:14:17,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:14:28,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:14:39,Too many processes running — consider disabling startup programs.
0.0,42.2,205,,2025-11-07 17:14:50,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:15:01,Too many processes running — consider disabling startup programs.
1.4,42.2,205,,2025-11-07 17:15:12,Too many processes running — consider disabling startup programs.
0.6,42.1,205,,2025-11-07 17:15:23,Too many processes running — consider disabling startup programs.
1.0,42.1,205,,2025-11-07 17:15:34,Too many processes running — consider disabling startup programs.
2.8,42.1,205,,2025-11-07 17:15:46,Too many processes running — consider disabling startup programs.
1.7,42.3,209,,2025-11-07 17:15:57,Too many processes running — consider disabling startup programs.
0.4,42.4,209,,2025-11-07 17:16:08,Too many processes running — consider disabling startup programs.
2.1,42.3,208,,2025-11-07 17:16:19,Too many processes running — consider disabling startup programs.
0.2,42.3,208,,2025-11-07 17:16:30,Too many processes running — consider disabling startup programs.
0.8,42.3,208,,2025-11-07 17:16:41,Too many processes running — consider disabling startup programs.
0.8,42.2,208,,2025-11-07 17:16:52,Too many processes running — consider disabling startup programs.
1.6,42.3,208,,2025-11-07 17:17:03,Too many processes running — consider disabling startup programs.
0.0,42.3,208,,2025-11-07 17:17:15,Too many processes running — consider disabling startup programs.
1.0,42.3,208,,2025-11-07 17:17:26,Too many processes running — consider disabling startup programs.
0.0,42.3,208,,2025-11-07 17:17:37,Too many processes running — consider disabling startup programs.
1.0,42.3,208,,2025-11-07 17:17:48,Too many processes running — consider disabling startup programs.
1.2,42.2,206,,2025-11-07 17:17:59,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:18:10,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:18:21,Too many processes running — consider disabling startup programs.
1.0,42.2,206,,2025-11-07 17:18:32,Too many processes running — consider disabling startup programs.
0.2,42.2,206,,2025-11-07 17:18:43,Too many processes running — consider disabling startup programs.
1.8,42.3,206,,2025-11-07 17:18:55,Too many processes running — consider disabling startup programs.
0.0,42.3,206,,2025-11-07 17:19:06,Too many processes running — consider disabling startup programs.
1.6,42.2,205,,2025-11-07 17:19:17,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:19:28,Too many processes running — consider disabling startup programs.
0.4,42.2,205,,2025-11-07 17:19:39,Too many processes running — consider disabling startup programs.
0.6,42.2,205,,2025-11-07 17:19:50,Too many processes running — consider disabling startup programs.
0.0,42.2,205,,2025-11-07 17:20:01,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:20:12,Too many processes running — consider disabling startup programs.
0.6,42.2,205,,2025-11-07 17:20:23,Too many processes running — consider disabling startup programs.
0.2,42.2,205,,2025-11-07 17:20:35,Too many processes running — consider disabling startup programs.
0.8,42.2,205,,2025-11-07 17:20:46,Too many processes running — consider disabling startup programs.
1.0,42.5,212,,2025-11-07 17:20:57,Too many processes running — consider disabling startup programs.
0.4,42.5,212,,2025-11-07 17:21:08,Too many processes running — consider disabling startup programs.
0.0,42.5,212,,2025-11-07 17:21:19,Too many processes running — consider disabling startup programs.
1.0,42.4,211,,2025-11-07 17:21:30,Too many processes running — consider disabling startup programs.
0.0,42.4,211,,2025-11-07 17:21:41,Too many processes running — consider disabling startup programs.
